Date,Vendor,Name,Quantity,Price,Category,Payment method
2014-05-16,GardenWorks,Vegetable Jumbo Pack,1,5.52,groceries,credit
2014-05-16,GardenWorks,Vegetable Jumbo Pack,1,6.49,groceries,credit
2014-05-16,GardenWorks,Vegetable Assorted 10cm,1,3.39,groceries,credit
2014-05-16,GardenWorks,Tomato 10cm,1,2.97,groceries,credit
2014-05-16,GardenWorks,Organic Vegetable 10cm,2,4.43,groceries,credit
2014-05-16,GardenWorks,GV Cardboard Flat,1,0.21,supplies,credit
2024-05-11,Burger King,Crispy Chicken,1,9.14,meal,credit
2024-05-11,Burger King,Roadhouse Crispy Chicken,1,12.83,meal,credit
2024-05-11,Burger King,Fry,2,3.23,meal,credit
2024-05-11,Burger King,Impossible Whopper,1,8.14,meal,credit
2024-05-11,Burger King,Coke,2,0.0,meal,credit
2023-07-05,Costco Wholesale,Aussie Bites,1,15.49,groceries,debit
2023-07-05,Costco Wholesale,Shrimp Tacos,1,24.5,groceries,debit
2023-07-05,Costco Wholesale,Always INR200,1,4.09,groceries,debit
2023-07-05,Costco Wholesale,TP/222886,1,10.99,groceries,debit
2023-07-05,Costco Wholesale,Bagel Chips,1,63.47,groceries,debit
2023-04-22,King's Way Alterations,Jacket Fix and Steam,1,30.0,clothing,other
2024-05-11,Panago,MEDIUM Deluxe (pepperoni) Original Crust,1,18.25,meal,cash
2024-05-11,Panago,MEDIUM Veggie KMEDK Thin Crust,1,20.25,meal,cash
2024-05-18,Uniqlo Metrotown,W's full-zip hoodie,1,49.9,clothing,credit
2024-05-18,Uniqlo Metrotown,K's AIRism hoodie,1,29.9,clothing,credit
